adult,child
- but I can't keep my eyes open.,unknown
who's that hiding under the table ?,unknown
give me the cup .,unknown
it is can you sing it ?,unknown
daddy's going to the hospital boo .,unknown
daddy's gonna what ?,unknown
a dog like you are!,unknown
Shut your mouth!,unknown
"You should never be able to cut anybody's hair.""",unknown
can you go get the ball ?,unknown
who drives daddy to the train ?,unknown
uh that's the moon ?,unknown
The car belongs to Ted McKinney.,unknown
the bird .,unknown
I can't find my shoe.,unknown
"Wait, wait, he's moving.",unknown
you just give me the book .,unknown
aha ball .,unknown
where's his other ear now ?,unknown
We're going to play it by ear.,unknown
"Three ball, far corner.",unknown
I hope you have a great night.,unknown
hey let's not pick his eyes off now ?,unknown
Keys to a dozen hideout flats all over the city.,unknown
you like the bear ?,unknown
that's that's her when you have an ear ache ?,unknown
daddy's telling stories huh .,unknown
a book .,unknown
It's not my phone.,unknown
I fear someone might cast an evil eye.,unknown
You're not gonna have a bottle each!,unknown
- Good night!,unknown
mommy's drawing a hand .,unknown
Help them!,unknown
hello you want mommy to say hello on this one .,unknown
Thank you chair.,unknown
Welcome home.,unknown
oh is is it the radio ?,unknown
you want to put the car in the street ?,unknown
"- Out, come on, let's go!",unknown
the car first ?,unknown
Oh you're  book's upstairs.,unknown
daddy's pretty easy huh .,unknown
okay they're on the table .,unknown
get me some juice now .,unknown
help you.,unknown
I do not get any fish or fish... right?,unknown
I need my hat.,unknown
this foot in the sleepy suit .,unknown
- You need help.,unknown
"You're acting weird today, Dad.",unknown
If you could please respect that.,unknown
"Anything you can break up, and just give",unknown
It doesn't sound like rock though.,unknown
"- Uh, little bird?",unknown
his nose .,unknown
Where's that dog?,unknown
"Wait, let everyone get in",unknown
give you a new truck ?,unknown
Let's get some light in here.,unknown
how about a book ?,unknown
"""I wait for you!""",unknown
where's his eyes ?,unknown
Are you gonna be my new mommy and daddy?,unknown
let's see what's in this box .,unknown
i think that might be something of daddy's .,unknown
It won't get out of my head.,unknown
Will you wait here?,unknown
"I'll explain later,and she's  last night .",unknown
Call the girl to come back.,unknown
May I help you?,unknown
you put them in the box okay .,unknown
so how are you going to wash her hair now ?,unknown
oh you're a bird .,unknown
"Why, if your Car can fling the Dust aside,",unknown
We could let the cat out.,unknown
- ( phone buzzing ),unknown
You don't get a fish this colour in Norway.,unknown
A phone number as well yeah.,unknown
okay my goodness you bossy little girl .,unknown
And dog in?,unknown
"- That's right, that's the night.",unknown
you need some help with that ?,unknown
Couldn't you put your foot down?,unknown
His eyes are so tiny.,unknown
I'm looking for a car seat.,unknown
Start the truck.,unknown
I'll look at her with innocent eyes.,unknown
try him on the chair ?,unknown
what do you ask for the car ?,unknown
"This CAT scan is clean, Gordon.",unknown
A black bear.,unknown
you have daddy do that with you !,unknown
Why do they break everything?,unknown
This is about Kitty's social life.,unknown
there's a baby ?,unknown
yeah it's a hand ?,unknown
here's the dog .,unknown
You'd better watch your mouth!,unknown
pull your foot out .,unknown
could we help mommy eat the cake .,unknown
I'II wait in the car.,unknown
here hold mommy's hand .,unknown
Maybe this will help.,unknown
help let me out ?,unknown
"I don't sing,remember?",unknown
oh that's mommy's oh pills ?,unknown
combs his hair .,unknown
Right-hand hook.,unknown
someone's home .,unknown
that's a ball !,unknown
"The key car, it's for you.",unknown
say the cup on the cup is on the floor ?,unknown
daddy is going up the stairs one at a time .,unknown
to take home to mommy ?,unknown
"Yes and every night this week, so far.",unknown
and a cow .,unknown
don't pull the phone though ?,unknown
Home to Puotinharju.,unknown
cute little chair .,unknown
I shall return later today.,unknown
"Oh, I say, are those rock cakes?",unknown
Wait here.,unknown
And no TV.,unknown
over there in your hand .,unknown
"Good night, miss Porter.",unknown
A little red light.,unknown
his head goes there .,unknown
he is a little baby .,unknown
are you eating the bear ?,unknown
moon and stars.,unknown
you want your bottle .,unknown
good girl .,unknown
"She smiles, but with those tragic, waiting eyes,",unknown
"It's really great to have you home, Mom.",unknown
where are you pants ?,unknown
well you're pretty lucky daddy .,unknown
[Phone room chatter],unknown
I can't help it.,unknown
on the fish .,unknown
The sun returns to Antarctica.,unknown
they wear their hair straight up don't they .,unknown
Take her home.,unknown
then you can't have the banana .,unknown
In my home!,unknown
I'm talking about something bad happening at the chemical plant.,unknown
So why do we need their help?,unknown
put the baby on the motorcycle and go to the store .,unknown
Maybe you could help me out here.,unknown
where's yer eyes ?,unknown
Today we are going to discuss the Berlin Wall.,unknown
You're over one-night stands!,unknown
You should get out of my head while you still can.,unknown
do you see the tooth paste ?,unknown
"A light that sings along the waves of light,",unknown
Get into the bath.,unknown
You'll sing for me.,unknown
Using your own head.,unknown
"♪ One girl, one boy... ♪",unknown
what's a lion say ?,unknown
or hot juice ?,unknown
let me clean your hand .,unknown
now what's happening to the little girl in this picture ?,unknown
And Cookie's never wrong.,unknown
- Eyes and ears inside.,unknown
"He must be talking about the girl, the dancer.",unknown
is this their dog .,unknown
"But look to your head , Sir Richard !",unknown
A bear!,unknown
Someone help me!,unknown
See that rock directly ahead of you?,unknown
Sing with me now.,unknown
- Good night.,unknown
"Bird, a female of the ruff, five letters .",unknown
open yer eyes where's yer eyes ?,unknown
That's a good girl.,unknown
what's on your chair ?,unknown
yeah a truck but i mean .,unknown
I hold my hair  spray !,unknown
good night hondo good night fabian ?,unknown
you want another bear ?,unknown
It's like driving a lion.,unknown
does a bird fly ?,unknown
oh he's going under the table .,unknown
is this the mommy ?,unknown
I'll cut your head off when I grow up,unknown
"Get me the table please, The left one,",unknown
good night .,unknown
..today thousands of people and watching my show.,unknown
But I absolutely love the baby phase.,unknown
come to daddy .,unknown
"""To please me.""",unknown
can you put put the book back in the box ?,unknown
I'm here to help.,unknown
Staring... with wide eyes at the sky.,unknown
Sit in the sun.,unknown
They're all keys to solving that incident.,unknown
give the ball to mama .,unknown
I'm not on the bed.,unknown
bring her home from the beach .,unknown
you do have a nose too .,unknown
You have to have a baby.,unknown
"Out of the dark, into the light,",unknown
At least you get a chair.,unknown
are you sittin' on your keys .,unknown
I'll just wait... here.,unknown
you want mommy up ?,unknown
"Um, I think fish Pizza is still open.",unknown
what does a duck say ?,unknown
oh it smells like a flower does not it ?,unknown
with the star .,unknown
In the kitchen.,unknown
"Here, let me give you a hand.",unknown
above his ear.,unknown
You're talking about fish food.,unknown
(truck horn blaring),unknown
"- What is it, first night back jitters or something?",unknown
"It's impolite to kiss and tell, Dary.",unknown
Keeping Grandma in a good mood is our first priority.,unknown
A flower among the flowers at play;,unknown
a cow and a pumpkin .,unknown
looks like the head of a cow ?,unknown
you want mommy's watch ?,unknown
I don't like it in the dark .,unknown
wipe your mouth and you can get down now.,unknown
you wanna say hi to daddy ?,unknown
this the can go to the bed ?,unknown
what do you do with a car ?,unknown
Get in the car.,unknown
- Don't hurt him.,unknown
Are we going by bus or by train?,unknown
where's the tooth paste ?,unknown
You'd hurt whoever you could!,unknown
the mommy bird is feeding her babies ?,unknown
It's not my phone...,unknown
"We'll see when we get home, ok?",unknown
not in your mouth s please joseph ?,unknown
Can I help you?,unknown
Let's take a break.,unknown
an imperial sun in the sky.,unknown
"Honour the Light Brigade,    Noble six hundred!""",unknown
what a good girl you are jilly .,unknown
Turn on the light.,unknown
You're more like a dog.,unknown
maybe they better go to bed and take a rest .,unknown
throw it to mommy .,unknown
in the bed ?,unknown
how about blowing your nose ?,unknown
"JUST TELL ME, SAM.",unknown
"Come on, Mommy.",unknown
i gonna throw you on the bed .,unknown
It is now occurring before our eyes.,unknown
fish must swim in the lake ?,unknown
not on your hand .,unknown
Can it wait?,unknown
"Then, uh... jump over the...",unknown
I'm going to bed.,unknown
Turn on the light.,unknown
you need mommy ?,unknown
mommy is bridget's friend ?,unknown
"No, I'm not going to take a bath.",unknown
"table of distances by, 51-52",unknown
Have a lovely night.,unknown
you know that no car goes in there .,unknown
Cookie says supper will be five minutes while the beef rests.,unknown
175 The Moon,unknown
fly away bird .,unknown
show daddy where it says nathaniel boogle ?,unknown
so i can i just put milk and butter and ?,unknown
do you do this at home or at maggie's house ?,unknown
"No it isn't, it's up to you duck.",unknown
Under the table  you'll find a chip .,unknown
where's your hand ?,unknown
is she a puppy dog .,unknown
"Quite a night, huh?",unknown
"I need my hat, not a halo.",unknown
Or the heavenly home of our ancestors?,unknown
and the bird's saying tweet tweet tweet tweet .,unknown
you don't have a boat .,unknown
You want some more juice?,unknown
do you have cookie monster ?,unknown
Make them shut down the plant now.,unknown
here we are at the flower garden .,unknown
Why don't I clock you?,unknown
Fish and chips?,unknown
yeah he's going around the baby chick .,unknown
a dog house .,unknown
what where's the baby ?,unknown
"Yeah, this couch is surprisingly comfortable.",unknown
"Every night, every hour.",unknown
Could be a bird of some sort.,unknown
Can't keep awake today!,unknown
"""Candy and Cookie""?",unknown
with this in his hand ?,unknown
"No, you stay here, mind the leg snake!",unknown
But why today?,unknown
Your hair's in the way.,unknown
Are you taking the baby?,unknown
We're just here for the TV.,unknown
now we have a light .,unknown
- Most home runs?,unknown
where's mommy's sleeve that's right ?,unknown
a cup for mommy's coffee .,unknown
aha whose home is that ?,unknown
[CROWD CHEERING OVER TV],unknown
oh such a nice bear .,unknown
Get it out of my head!,unknown
yes the moon yeah ?,unknown
i can do it too says the dog .,unknown
"Wow, my phone has a clock.",unknown
You're at home.,unknown
- Mouth-to-mouth's not working.,unknown
GET OUT!,unknown
which book would you like to read now ?,unknown
"Check it out, hard as a rock, ese.",unknown
cookie monster .,unknown
"- Well, I'm here to help.",unknown
What a night!,unknown
"The car, Meca",unknown
"We'll be here working all night long.""",unknown
Will you help me?,unknown
( Cat Screeching ),unknown
good girl .,unknown
- It has today's date on top.,unknown
"Now, sing!",unknown
And we spend the night in the same room?,unknown
- It's the book!,unknown
you gonna a push him in .,unknown
that's big bird's bear .,unknown
I'll get help.,unknown
a duck .,unknown
here's your bear .,unknown
oh you want the car to go in the garage .,unknown
Take my hand!,unknown
Give me a break.,unknown
Something which ought to create an 11 square foot hole.,unknown
daddy wants you to stay here and finish your breakfast .,unknown
I have to let everybody take a night off.,unknown
sort of a a fish and a crab .,unknown
good night ?,unknown
"Oh, baby.",unknown
oh you want me to wipe your nose !,unknown
Step away from the bed.,unknown
"Not with just my pants on, anyway.",unknown
"Could we save that lamp till we roll, please?",unknown
What if it's my leg?,unknown
oh are you putting her to bed .,unknown
"The actual book, arise that book anyhow, mm.",unknown
On the radio?,unknown
We help get you out...,unknown
i'll help you .,unknown
A little girl.,unknown
He's a hungry little dog Margaret ain't he?,unknown
is that what daddy says .,unknown
A bus?,unknown
- Good night.,unknown
- Get out of the car.,unknown
put your hand down ?,unknown
it's hair is green .,unknown
Don't hurt her.,unknown
that's him  on the phone,unknown
mommy's gonna do what .,unknown
you can put the ball in the box .,unknown
we do want more fish out.,unknown
His eyes.,unknown
a little flower .,unknown
Stop the car!,unknown
mommy will go get you some sandals .,unknown
Big Sally.,unknown
"RIGHT HAND, UP ON YOUR SHOULDER.",unknown
in the car .,unknown
"Let's go to bed, man.",unknown
"""Daddy is human too. """,unknown
let me try to lasso the truck .,unknown
mommy and norman .,unknown
- Give the car a complete toss.,unknown
Get out of the car!,unknown
"- Hi, Franz!",unknown
that's the moon .,unknown
He  you know what a big head he is.,unknown
I'm gonna wear the hat.,unknown
[phone rings],unknown
- But the smile is the same.,unknown
They hurt my mommy?,unknown
Help her.,unknown
get mommy .,unknown
"Yeah, mental help.",unknown
Let's see if anybody's home.,unknown
Who's stroking your hair now?,unknown
"Don't worry, my doll.",unknown
that's a doll .,unknown
New kitchen rules.,unknown
A one-night stand.,unknown
daddy is tired .,unknown
this chair .,unknown
i can't sing ?,unknown
You must sack her today!,unknown
[Car beeps],unknown
he's hanging by one foot .,unknown
do you see baby bunny ?,unknown
"The girl could be Fen, sir.",unknown
and a  bed costs two thousand pounds.,unknown
But on dark hair.,unknown
"What book are you reading, miss?",unknown
- Where is Daddy?,unknown
"I need your help, detective.",unknown
who's the mommy ?,unknown
Are they all still living at home?,unknown
now put your put your little pants on .,unknown
Can I help?,unknown
"It's me, Daddy.",unknown
isn't that right daddy ?,unknown
it's a car too .,unknown
"No kiss, no money.",unknown
oh no please don't kick it please .,unknown
all right one baby .,unknown
wipe the mouth .,unknown
- You want to see the baby?,unknown
Make yourself at home.,unknown
someone's in the lion sock !,unknown
how will they ever get this cat out of here ?,unknown
` His right hand . ',unknown
"Mommy, Daddy's fighting again!",unknown
"We need help, man.",unknown
[Car Door Closes],unknown
bouncing on the bus take a ride with us .,unknown
"- that's who i am, baby.",unknown
I'd keep my mouth shut.,unknown
good night ?,unknown
there is a cup of milk ?,unknown
who goes in the chair ?,unknown
I'm not doing TV right now.,unknown
The little girl nursery.,unknown
We're in a car.,unknown
She's always in bed by 10PM.,unknown
huge baby pool .,unknown
A baby.,unknown
I can even afford a car.,unknown
oh well do you want the daddy .,unknown
Close your eyes.,unknown
who's home with the baby ?,unknown
Hold my hand.,unknown
how bout this book ?,unknown
rain what .,unknown
What about the car?,unknown
right foot .,unknown
Er  for me eyes.,unknown
his hat far upon the back of his head.,unknown
"I hate the dark, I always have.",unknown
- She would not wait.,unknown
aren't you going to talk today ?,unknown
Give him milk when he wakes up.,unknown
Explosive head bullets.,unknown
with a critical and discriminating eye.,unknown
no you don't talk baby talk to him .,unknown
where does the apple go ?,unknown
should we find a book to read .,unknown
You have a pretty mouth.,unknown
can you say apple ?,unknown
I feel uncomfortable from head to toe!,unknown
"A night out with you, a new dress.",unknown
no what's on the bed ?,unknown
Why are we outside of the kitchen?,unknown
Don't you want to write your own book?,unknown
there now can you put it in the box .,unknown
you want to read your book ?,unknown
If I buy any more bloody milk I shall go bonkers!,unknown
With this towards the rock my route speeds:,unknown
- A teenage girl hates her father.,unknown
We should take it out of the car now.,unknown
"Can the help sit at the table, too?",unknown
No I'm listening to the radio.,unknown
"Welcome my moon, my sun",unknown
what happens if the dog's licking you ?,unknown
what comes after apple ?,unknown
It's better if you keep your head down.,unknown
i because i don't go there with you mommy does .,unknown
- He's not home.,unknown
this is the mommy and daddy's room .,unknown
You know Daddy's a policeman.,unknown
you say bye bye daddy .,unknown
more bottle ?,unknown
Alone in bed;,unknown
no don't kick that ?,unknown
Wait here.,unknown
yes you want mommy to go get blankie .,unknown
After that kiss !,unknown
on his head .,unknown
-Give me your phone I'll just look at it!,unknown
Brush her hair.,unknown
I still have it in the head.,unknown
Why won't you let yourself have this car?,unknown
"Baby, I get scratches all the time.",unknown
i'll help you .,unknown
do they hang down in your eyes ?,unknown
"I need your help, Luna'.",unknown
"to-night it will give me my desire!""",unknown
do you like swinging with mommy ?,unknown
Wait for me.,unknown
Thank you chair.,unknown
what is dolly wearing today ?,unknown
that girl stays in the house .,unknown
here's your cat .,unknown
no she doesn't doesn't like rain .,unknown
You need help.,unknown
You can help me.,unknown
this a bird ?,unknown
"I, I, that's what I would do.",unknown
you're getting a runny nose .,unknown
What's today?,unknown
How may I help you?,unknown
“What star is this” (87),unknown
"New girl, new girl.",unknown
Good night.,unknown
"Anyway, playing at home.",unknown
do i have to pour it in the cup .,unknown
little bear is learning how to find a lost glove .,unknown
but where's mommy's nose ?,unknown
Today I am going to knock you back to your senses!,unknown
a p mommy .,unknown
Hi Ankita.,unknown
i'm making some bread .,unknown
They push us.,unknown
Help him!,unknown
milk and yoghurt and granola .,unknown
do you need a kiss .,unknown
i can help it i wanna walk .,unknown
"No, I'm not naughty girl like you!",unknown
I'll be quiet as a mouse.,unknown
look we have chair .,unknown
ooh i have to make daddy's lunch ?,unknown
You'll pay me today!,unknown
The nose is a little..,unknown
it has a lion in it .,unknown
teach mommy how to do that .,unknown
want to eat some bread .,unknown
Into the dog walk.,unknown
throw it in the box .,unknown
or she's in her bath robe ?,unknown
is there a light in here .,unknown
daddy's gonna play with you when gets home today .,unknown
is that baby food .,unknown
the other hand .,unknown
you see her head .,unknown
Answer the phone.,unknown
which flower do you like best .,unknown
they don't go in your mouth .,unknown
Put your hand right here.,unknown
I couldn't help but wonder...,unknown
is that a boat .,unknown
here's some baby clothes .,unknown
(car engine approaching),unknown
"- Oh, your hand's on my leg.",unknown
put the ball in and we'll get another box ?,unknown
(dog barking),unknown
and mommy has a two on her nose .,unknown
a star ?,unknown
Help him.,unknown
or over here is it under your chair nope ?,unknown
play ball with mommy ?,unknown
no not today ?,unknown
My girl is like a channel.,unknown
I'll help you.,unknown
"Hey, wait up.",unknown
i'm the mommy of this dolly .,unknown
cow very good .,unknown
She's in bed.,unknown
I don't need any help.,unknown
Have some light.,unknown
Any other leg men in here?,unknown
- Will you help me?,unknown
that's the girl ?,unknown
yucky with the candy no no no no .,unknown
Your hand.,unknown
at the mouth ?,unknown
a baby cries .,unknown
Today is my mother's birthday,unknown
Good night.,unknown
first you show mommy how to do this .,unknown
(DOG WHIMPERING),unknown
here's your milk .,unknown
this is daddy .,unknown
... get to the boat.,unknown
mommy get this to stand up ?,unknown
Last night's massacre?,unknown
only one hand .,unknown
a cat ?,unknown
Daddy will.,unknown
i know but but it might be rain .,unknown
go get the ball ethan .,unknown
Nasty break.,unknown
no the duck says quack quack .,unknown
oh here comes a car !,unknown
Eye for an eye.,unknown
On your hand?,unknown
the bear .,unknown
Today everything is different.,unknown
Oh you mean a bed?,unknown
you knock that car over with what .,unknown
put your hand here .,unknown
Wait it out.,unknown
baby's towel !,unknown
Good night.,unknown
Are you living at home?,unknown
What if I break it?,unknown
What you doing with the  a cup of tea.,unknown
oh good i have a broken leg .,unknown
okay let's take a break okay ?,unknown
♪♪ [baby babbling on speaker] [laughs],unknown
"Who likes juice, Horace?",unknown
how does a lion sound ?,unknown
that's the wrong foot .,unknown
that's the moon ?,unknown
"We'll get you in the car, all right?",unknown
2-foot splits and 5-foot-long suit.,unknown
"- What's up, baby?",unknown
well most fish does have bones in it ?,unknown
She's not home.,unknown
"That's my baby now.""",unknown
Why won't they wait?,unknown
yeah there are yeah you could have fresh banana ?,unknown
can you get the ball in the box ?,unknown
you wanna learn come sit on mommy's lap ?,unknown
Good girl.,unknown
Would you like to have a break for tea now?,unknown
¶ Please say the baby.,unknown
Look at your hand.,unknown
- KICK THE TOE THAT WAY-- 14--,unknown
mommy's gonna have one of these .,unknown
His phone is not reachable.,unknown
You see the curly hair there.,unknown
"Starting today, i decide where the money goes.",unknown
Won't you thank the Big Boss?,unknown
- My eyes?,unknown
Get out of my head!,unknown
you stay with mommy .,unknown
take a bath .,unknown
this is his hat ?,unknown
"I hate you, Daddy!",unknown
gonna let him see your book !,unknown
i think he might be in his truck ?,unknown
Looking at eyes and colour,unknown
- Out where ?,unknown
Please give me a hand.,unknown
look at mommy ?,unknown
Push up again.,unknown
here's a toast .,unknown
♪ By the light of the silvery ♪,unknown
i know the ball is stuck ethan .,unknown
or you wanna read your book .,unknown
Still looking for a new shoe size?,unknown
It's tough to hurt you.,unknown
It just one night?,unknown
"- Night, Mrs. Cole.",unknown
that's a spoon !,unknown
you'll hurt yourself .,unknown
"FIRST, DON'T WORRY.",unknown
it is a star ?,unknown
In the car.,unknown
"Oh, wait.",unknown
okay you sit here and i'll get a cookie ?,unknown
- Most home runs?,unknown
chasing the car ?,unknown
let's read this book .,unknown
"And then he, like, draws me a bath.",unknown
"Whass up, baby ?",unknown
daddy wants to give you a bath .,unknown
And the moon sees somebody I'd want to see,unknown
daddy takes caillou on a long car ride .,unknown
you know what let mommy go get your crayon box upstairs .,unknown
I can't bear it anymore.,unknown
this can be a baby .,unknown
Will you sing?,unknown
where's his eyes ?,unknown
Just wait and hear what she has to say.,unknown
and then come back at night sarah ?,unknown
Can't believe actually today's here.,unknown
where's the baby ?,unknown
Please stop jumping on the chair arms will you?,unknown
This is dog food!,unknown
You do not jump and do not jump no more!,unknown
the baby yes .,unknown
does it fit on the block .,unknown
BOOK THREE,unknown
daddy will get a diaper ?,unknown
Get it out of my head!,unknown
That's not a moo cow.,unknown
foot bup ?,unknown
I tell you the girl knows nothing.,unknown
"- Me, Andrea.",unknown
do you want daddy to kiss it too ?,unknown
"You know, the full moon's coming, Derek.",unknown
try out the jump rope slide down the slide .,unknown
"""Yeah, baby.",unknown
it's about a little girl who's ?,unknown
that's a car ?,unknown
"- Come on, baby.",unknown
let's give him a little hair .,unknown
that is a sock !,unknown
i'm tying my shoe .,unknown
oh okay let's not put it in your mouth honey .,unknown
Big Ben.,unknown
That's likely to change when the baby comes.,unknown
Now duck.,unknown
what's in this box ?,unknown
do you have a boat at nana's ?,unknown
"That livelong night the foes, throughout their tents,",unknown
-You throw the book at the guy.,unknown
would you like to sit in the chair dale huh ?,unknown
okay put a little star on marky's forehead .,unknown
daddy says it like this dew .,unknown
oh his head backwards again ?,unknown
Here is today's crucial moment.,unknown
that's not a box .,unknown
Got cereal?,unknown
That... that terrible night...,unknown
More than baby pictures.,unknown
"Look at me, baby girl.",unknown
no toast .,unknown
"Whoa, wait.",unknown
- Want a foot rub?,unknown
where's the car ?,unknown
"""Don't talk about the baby.""",unknown
oh look at this baby .,unknown
Make yourself at home.,unknown
"Breathe, baby.",unknown
it's a baby cow .,unknown
Need help?,unknown
you want the ball .,unknown
would joseph like a cookie ?,unknown
"Wait, what?",unknown
here's another fish .,unknown
But why doesn't the Moon fall to Earth?,unknown
maybe it's under the table .,unknown
"- Me, you mean?",unknown
do you wanna read a book to me ?,unknown
i'm bringing juice .,unknown
I see myself through your eyes conveying love.,unknown
"""Grandma, please think it over again.",unknown
it's not a ball ?,unknown
she's still drinking her milk ?,unknown
here here give me your hand .,unknown
Open the car.,unknown
Good girl?,unknown
"Close your eyes, close your eyes ...",unknown
now it's daddy's turn .,unknown
have a mouth ?,unknown
you help !,unknown
NowI'IIstuffyou with bread It don't hurt 'causeyou're dead,unknown
that's a box ?,unknown
but now they know my car.,unknown
It's a girl.,unknown
want the book ?,unknown
I need your help.,unknown
Bad night.,unknown
I always carry my rocking chair along.,unknown
he's a little girl ?,unknown
your mouth's so full .,unknown
sitting on a chair ?,unknown
put it in give me the box .,unknown
"Boat balance, keep the hull flat for maximum speed.",unknown
Do you mind not doing that at the table?,unknown
there's an empty chair there .,unknown
"As languishes the flower of purple hue,",unknown
Just rock after rock.,unknown
"Look what the cat drug in, kid!",unknown
come to mommy .,unknown
could mommy have a crayon please .,unknown
"Run off to bed , child .",unknown
would you like a little milk in your cup laura ?,unknown
Give me your spoon.,unknown
nice baby .,unknown
you want ta read this book .,unknown
to sing to him,unknown
"Poor girl, she is one legged, bye!",unknown
"We have a book in which to look,",unknown
The dark sacred night,unknown
Can we walk  to grandma?,unknown
when you push ?,unknown
you can do it with two ha with one hand .,unknown
can you read to mommy ?,unknown
A box?,unknown
it's a rock ?,unknown
"Toast, what are you doing?",unknown
Go tease the girl who is standing being me.,unknown
You're a very nice girl.,unknown
what's the mommy doing ?,unknown
oh hurry up so you can help grandma with that cup .,unknown
another book okay you deserve it .,unknown
Get help.,unknown
"- Hey, pal, it's my car.",unknown
Give me your hand.,unknown
no regular bread .,unknown
are you gonna throw me the ball .,unknown
You hurt?,unknown
that's my toast .,unknown
the cow can't go on the bus that's right ?,unknown
and what's the cat doing ?,unknown
"It looks like TV football, viewing party last night.",unknown
you want fresh banana .,unknown
you want another hat ?,unknown
do you see another car ?,unknown
- Oh baby.,unknown
look at her pretty eyes .,unknown
make them a cup .,unknown
- Show me the phone.,unknown
"You can't help worrying, suffering.",unknown
Why is the phone unplugged?,unknown
Go cut you some bread?,unknown
is that a cow .,unknown
here's some milk .,unknown
where's his eye ?,unknown
daddy is eating ?,unknown
- Jump around.,unknown
Tripping over her shoe laces.,unknown
The moon flying high,unknown
oh good girl .,unknown
a cookie ?,unknown
"Fourteen Foot Bank, 132, 143-47",unknown
Sing it!,unknown
"Mmm, fish eggs.",unknown
oh he's a sorry bear .,unknown
"Talk your girl, Divya.",unknown
- Eyes a little baggy.,unknown
I'll get you some milk.,unknown
She needs our help.,unknown
On the head.,unknown
another bed .,unknown
to her as one listens to a bird warbling.,unknown
I'll help you.,unknown
She don't blooming want a cup!,unknown
"Soon, not whisper their home.",unknown
After they break up?,unknown
"All raise your head, back to back.",unknown
Now is grandma dead?,unknown
♪ Your eyes in stars above,unknown
We can help you.,unknown
Mommy will be right with you.,unknown
She doesn't have a phone.,unknown
What's your home address Mr ?,unknown
Do you want a cup of coffee?,unknown
let's see the ball .,unknown
- One kiss from you is all I ask.,unknown
are you gonna buy your baby something to eat ?,unknown
you wanna sit on the bed ?,unknown
"Remove your keys, any metal objects.",unknown
well well that's a ball .,unknown
Do you want a hand buttoning up?,unknown
I'm going after that truck.,unknown
alright mommy will get another one .,unknown
It looks like rain.,unknown
She'll wait up.,unknown
- Last night.,unknown
"Wait, he can sense you?",unknown
oh cover your mouth .,unknown
Is this you as a baby?,unknown
like  ooh  can we have it in bath please?,unknown
He's a bed wetter?,unknown
it's a good toast isn't it .,unknown
"The moon also gIitters, but it's not frightening.",unknown
What's that bear it any longer,unknown
you have milk in your cup .,unknown
you wanna invite mommy to the tea party ?,unknown
"Let me give you a hand, Stoke!",unknown
You and the girl must disappear.,unknown
And absolutely the best car in this garage?,unknown
mm the ball ?,unknown
(girl grunting),unknown
there's a spoon .,unknown
wait wait wait they're sticking together .,unknown
Oh light helps you concentrate does it?,unknown
You're the only one who can help them.,unknown
Put him on the box so we can all hear him.,unknown
How Can I sing?,unknown
bread and butter ?,unknown
Bus or car?,unknown
"- The girl, sir.",unknown
"- Hi, Miss...",unknown
"book is full of weird fascination, and will add to Mrs.",unknown
it belongs to mommy ?,unknown
and white fish .,unknown
a coat .,unknown
What pretty hair!,unknown
A cow?,unknown
Yeah is that a help or a hindrance ?,unknown
is the baby liking it jillian .,unknown
the apple's over there .,unknown
"They break us, you know.",unknown
You see the light after Lock-out Time .,unknown
...off into the night.,unknown
put the baby in here .,unknown
more milk ?,unknown
"Oh, hat's great news, Jen.",unknown
Then he's touring that chemical plant in Point Pleasant today.,unknown
Get on the phone.,unknown
throw an apple ?,unknown
Juice cartons on the right,unknown
can mommy sit next to you .,unknown
I don't wanna show my hand too early.,unknown
how do they get milk from a cow ?,unknown
We'll take the next boat.,unknown
The warm banana?,unknown
Walk into the light.,unknown
and then they turn white in the sun ?,unknown
"Well, home is where the battle is.",unknown
I see the moon and the moon sees me,unknown
isn't that the daddy ?,unknown
some milk but nothing's open tomorrow so .,unknown
"Yes, The Sun.",unknown
It's our last night.,unknown
but it'd look funny on my table.,unknown
oh dear baby in the mud ?,unknown
- The girl in that magazine isn't who I am!,unknown
Do you have the keys to this?,unknown
- Does that hurt?,unknown
you want daddy to fix the door .,unknown
which mommy's gonna take care of right now .,unknown
a ball .,unknown
Go Moon...,unknown
the phone .,unknown
oh daddy will get you a little piece of doughnut too .,unknown
"""and he strides to the heavenly home of our ancestors""",unknown
And another foot.,unknown
throw it to mommy .,unknown
(Phone rings),unknown
-Do you need the phone?,unknown
let me wipe your nose .,unknown
we want some more toast .,unknown
You can go in there with your dog.,unknown
good night lia .,unknown
Wait here.,unknown
Lay it over his eyes!,unknown
"subject from the outside, will fail to place himself sufficiently in",unknown
a book .,unknown
can you push that can you make it go ?,unknown
It only contains car registrations.,unknown
You calling me a cat?,unknown
where's the duck ?,unknown
you can't read without your hat .,unknown
Look at my eyes and say that ..................(CENSORED),unknown
daddy's puppy ?,unknown
Which book?,unknown
Who's driving the truck?,unknown
"It's when Car , yes, no ah",unknown
RADIO DJ: 73 degrees in downtown Albuquerque.,unknown
oh here's the star wars book .,unknown
i sing it .,unknown
And I will not keep my mouth shut.,unknown
that's another hair pin ?,unknown
excited bear .,unknown
Walk on through the rain,unknown
Do you want another cup of tea Tony?,unknown
without any help ?,unknown
where is my baby ?,unknown
i'll put it on here the bed .,unknown
I have a very eclectic feed.,unknown
2.Assaulting the Home Minister's son.,unknown
duck goes quack quack quack quack quack .,unknown
